marca_id;categoria_id;codigo_interno;nombre;descripcion;unidad_medida;peso_unitario;volumen_unitario;stock_minimo;unidades_caja;codigo_ean
1;6;69695036;FAB DT PVO FLORAL 3X5KG PR ESP;FAB DT PVO FLORAL 3X5KG PR ESP;UND;5;0.005;0;3;7702190000000
1;6;69695037;FAB DT PVO FLORAL 112X100G;FAB DT PVO FLORAL 112X100G;UND;0.1;0.0001;0;112;7702190000000
1;6;69695281;COCO DT LIQ DOYPACK 8X1.8L;COCO DT LIQ DOYPACK 8X1.8L;UND;1.859;0.001859;0;8;7702190000000
1;6;69695282;LAVOMATIC LIQ DP 8X1.8L;LAVOMATIC LIQ DP 8X1.8L;UND;1.859;0.001859;0;8;7702190000000
1;6;69695283;3D DT LIQ MULTIUSOS 8X1.8L;3D DT LIQ MULTIUSOS 8X1.8L;UND;1.859;0.001859;0;8;7702190000000
1;6;69695284;VEL ROSITA JAB LIQ DOYPACK 8X1.8L;VEL ROSITA JAB LIQ DOYPACK 8X1.8L;UND;1.859;0.001859;0;8;7702190000000
1;2;69697471;REXONA CLIN EXP DEO STI CLASSIC 12X46G;REXONA CLIN EXP DEO STI CLASSIC 12X46G;UND;0.046;0.000046;0;12;75073107
1;2;69697476;REXONA CLIN EXP DEO STI CLEAN 12X46G;REXONA CLIN EXP DEO STI CLEAN 12X46G;UND;0.046;0.000046;0;12;75073114
1;2;69701216;REXONA M CLIN AER AP CLEAN 12X91G/150ML;REXONA M CLIN AER AP CLEAN 12X91G/150ML;UND;0.091;0.000091;0;12;7506310000000
1;6;69710247;CIF AMONIO CUATERNA PRO BOT 4X3.8L;CIF AMONIO CUATERNA PRO BOT 4X3.8L;UND;3.8;0.0038;0;4;7702190000000
1;3;69710305;SAVITAL SH COLAGENO RTS 12X550ML;SAVITAL SH COLAGENO RTS 12X550ML;UND;0.55;0.00055;0;12;7702010000000
1;6;69713228;3D DT PVO MULTIUSOS BLNC 96X125G;3D DT PVO MULTIUSOS BLNC 96X125G;UND;0.125;0.000125;0;96;7702190000000
1;6;69715964;3D PVO MULTIUSOS 4X3KG;3D PVO MULTIUSOS 4X3KG;UND;3;0.003;0;4;7702190000000
1;6;69715965;3D DT PVO MULTIUSOS BLANCA 4X3KG;3D DT PVO MULTIUSOS BLANCA 4X3KG;UND;3;0.003;0;4;7702190000000
1;3;69716086;PONDS CR CLARA B3 P SECA DPL 12X10X8.5G;PONDS CR CLARA B3 P SECA DPL 12X10X8.5G;UND;0.085;0.000085;0;12;7702010000000
1;3;69716088;PONDS CR S DPL 12X10X8.5G;PONDS CR S DPL 12X10X8.5G;UND;0.009;0.000009;0;12;7702010000000
1;2;69725634;AXE BS DARK TEMPTATION 12X97G/150ML;AXE BS DARK TEMPTATION 12X97G/150ML;UND;0.097;0.000097;0;12;7791290000000
1;2;69725639;AXE DEO AER AP DARK TEMPT 12X88G/152ML;AXE DEO AER AP DARK TEMPT 12X88G/152ML;UND;0.088;0.000088;0;12;7791290000000
1;2;69725641;AXE DEO AER AP ICE CHILL 12X88G/152ML;AXE DEO AER AP ICE CHILL 12X88G/152ML;UND;0.088;0.000088;0;12;7506310000000
1;2;69725643;DOVE DEO AER AP COCO 12X87G/150ML;DOVE DEO AER AP COCO 12X87G/150ML;UND;0.087;0.000087;0;12;7506310000000
1;2;69725644;DOVE DEO AER AP INVIS DRY 12X87G/150ML;DOVE DEO AER AP INVIS DRY 12X87G/150ML;UND;0.087;0.000087;0;12;7506310000000
1;2;69725645;DOVE DEO AER AP ORIGINAL 12X87G/150ML;DOVE DEO AER AP ORIGINAL 12X87G/150ML;UND;0.087;0.000087;0;12;7506310000000
1;2;69725650;REXONA DEO AER AP XTRACOOL 12X89G/150ML;REXONA DEO AER AP XTRACOOL 12X89G/150ML;UND;0.089;0.000089;0;12;7791290000000
1;2;69725654;REXONA FM DEO AER AP V8 12X89G/150ML;REXONA FM DEO AER AP V8 12X89G/150ML;UND;0.089;0.000089;0;12;7791290000000
1;2;69725655;REXONA FW AER AP ACL+ANTIB 12X89G/150ML;REXONA FW AER AP ACL+ANTIB 12X89G/150ML;UND;0.089;0.000089;0;12;7506310000000
1;3;69726939;PONDS FACE 12X5X6G+CB3 5X8.5G+REJU2X8.5G;PONDS FACE 12X5X6G+CB3 5X8.5G+REJU2X8.5G;UND;0.095;0.000095;0;12;7702010000000
1;2;69727443;REXONA JAB ANTIB MIX 8X6X120G;REXONA JAB ANTIB MIX 8X6X120G;UND;0.72;0.00072;0;8;7702010000000
1;2;69728134;REXONA MEN DEO AER AP CLEAN 12X90G/150ML;REXONA MEN DEO AER AP CLEAN 12X90G/150ML;UND;0.09;0.00009;0;12;7791290000000
1;6;69729298;FAB DT PVO FLORAL 24X500G PRM P450 L500G;FAB DT PVO FLORAL 24X500G PRM P450 L500G;UND;0.5;0.0005;0;24;7702190000000
1;6;69729310;FAB DT PVO FLORAL 18X1KG PRM P800G L1KG;FAB DT PVO FLORAL 18X1KG PRM P800G L1KG;UND;1;0.001;0;18;7702190000000
1;6;69729338;FAB DT PVO FLORAL 3X3.5KG PR ESP;FAB DT PVO FLORAL 3X3.5KG PR ESP;UND;3.5;0.0035;0;3;7702190000000
1;2;69737304;REXONA DEO ROL AP V8 6X30ML EXP;REXONA DEO ROL AP V8 6X30ML EXP;UND;0.033;0.000033;0;6;78930841
1;3;69737321;DOVE SH RECON6X400ML+AC+CR TRAT HIA 22ML;DOVE SH RECON6X400ML+AC+CR TRAT HIA 22ML;UND;0.827;0.000827;0;6;7702010000000
1;4;69739846;FRUCO MAY SUP PRECIO 6X2X600G;FRUCO MAY SUP PRECIO 6X2X600G;UND;1.2;0.0012;0;6;7702050000000
1;3;69740014;SAVITAL AC COLAGENO RTS 12X530ML;SAVITAL AC COLAGENO RTS 12X530ML;UND;0.522;0.000522;0;12;7702010000000
1;3;69748174;PONDS AGE MIRACLE SERUM VITA C 6X30ML;PONDS AGE MIRACLE SERUM VITA C 6X30ML;UND;0.031;0.000031;0;6;7702010000000
1;2;69748745;REXONA DEO ROLLON AP BAMBOO 6X30ML EXP;REXONA DEO ROLLON AP BAMBOO 6X30ML EXP;UND;0.032;0.000032;0;6;78924222
1;3;69751037;PONDS LIMP FAC FRU HYDR FRE ALOE 8X200ML;PONDS LIMP FAC FRU HYDR FRE ALOE 8X200ML;UND;0.2;0.0002;0;8;7506310000000
1;3;69751040;PONDS CR REJUVENESS FPS30 12X45G;PONDS CR REJUVENESS FPS30 12X45G;UND;0.045;0.000045;0;12;7506310000000
1;3;69751041;PONDS CR REJUVENESS FPS30 12X100G;PONDS CR REJUVENESS FPS30 12X100G;UND;0.1;0.0001;0;12;7506310000000
1;3;69751044;PONDS LIMP FAC FRU HYD FRES SAND 8X200ML;PONDS LIMP FAC FRU HYD FRES SAND 8X200ML;UND;0.2;0.0002;0;8;7506310000000
1;3;69751047;PONDS CR S HUMECTANTE FPS30 12X100G;PONDS CR S HUMECTANTE FPS30 12X100G;UND;0.1;0.0001;0;12;7506310000000
1;3;69751050;PONDS CR CLARANT B3 FPS30 12X100G;PONDS CR CLARANT B3 FPS30 12X100G;UND;0.1;0.0001;0;12;7506310000000
1;2;69751082;REXONA CLIN DEO CLEAN SCH 24X2X10X8.5G;REXONA CLIN DEO CLEAN SCH 24X2X10X8.5G;UND;0.17;0.00017;0;24;7702010000000
1;2;697510821;REXONA CLIN DEO CLEAN - SACHET X8.5G;REXONA CLIN DEO CLEAN - SACHET X8.5G;UND;0.17;0.00017;0;480;7702010000000
1;2;69751083;REXONA MEN CLIN DEO TUB CLEAN 12X30G;REXONA MEN CLIN DEO TUB CLEAN 12X30G;UND;0.03;0.00003;0;12;7702010000000
1;2;69751084;REXONA WOMEN DEO TUB CLINIC CLAS 12X60G;REXONA WOMEN DEO TUB CLINIC CLAS 12X60G;UND;0.06;0.00006;0;12;7702010000000
1;2;69751085;REXONA MEN DEO TUBO CLIN CLEAN 12X60G;REXONA MEN DEO TUBO CLIN CLEAN 12X60G;UND;0.06;0.00006;0;12;7702010000000
1;2;69751086;REXONA WOMEN DEO TUB CLIN CLAS 12X30G;REXONA WOMEN DEO TUB CLIN CLAS 12X30G;UND;0.03;0.00003;0;12;7702010000000
1;3;69752383;PONDS SERUM FAC HYDRA ACTIVE 12X30G;PONDS SERUM FAC HYDRA ACTIVE 12X30G;UND;0.032;0.000032;0;12;7506310000000
1;3;69753870;DOVE CR TRAT THER HIDRA+HIALU6X270ML;DOVE CR TRAT THER HIDRA+HIALU6X270ML;UND;0.266;0.000266;0;6;7702010000000
1;3;69753871;DOVE CR TRAT THERAPY HIDRA+HIALUR28X60ML;DOVE CR TRAT THERAPY HIDRA+HIALUR28X60ML;UND;0.059;0.000059;0;28;7702010000000
1;6;69754512;3D DT LIQ MULTIUSOS RTS 12X1L;3D DT LIQ MULTIUSOS RTS 12X1L;UND;1.024;0.001024;0;12;7702190000000
1;3;69754591;EGO FM GEL EXTREME ULTRA PT 24X240ML;EGO FM GEL EXTREME ULTRA PT 24X240ML;UND;0.24;0.00024;0;24;7702010000000
1;2;69757200;REXONA JAB ANTIB BAMBOO E ALOE 72X110G;REXONA JAB ANTIB BAMBOO E ALOE 72X110G;UND;0.11;0.00011;0;72;7702010000000
1;2;69757202;REXONA JAB ANTIB LIMPIEZA PROF 72X110G;REXONA JAB ANTIB LIMPIEZA PROF 72X110G;UND;0.11;0.00011;0;72;7702010000000
1;2;69757207;REXONA JAB ANTIB FRESH 24X3X110G;REXONA JAB ANTIB FRESH 24X3X110G;UND;0.33;0.00033;0;24;7702010000000
1;2;69757209;REXONA JAB ANTIB AVENA 72X110G;REXONA JAB ANTIB AVENA 72X110G;UND;0.11;0.00011;0;72;7702010000000
